_id	_rev	$doctype	age	gender	nationality	firstLanguage	education	occupation	lineOfWork	income	householdSize	livingArea	dwellingType	ownershipStatus	pets	hobbies
07bc41f34c4738973ce20839c2bbd69e	1-cd2b8f577bf123bc43a55894d8c5aa88	annotator	37	female	deutsch	deutsch	mastersDegree	fullTimeEmployee	it	80000	2	74	purposeBuiltFlatLowRise	jointTenant		Sport
0939a13407e3f8e2ed69013707a619d4	1-e5e227e6e22e5ad30a634a41f1ebe1f6	annotator	36	male	deutsch	deutsch	mastersDegree	fullTimeEmployee	economy_administration	100000	3	115	detachedHouse	jointTenant		Sport,Reisen,Wandern
15f2e8857a087b993fcaf84691d77383	1-45ed8c9118a516c0923ec2e12669fb1a	annotator	29	male	de	de	mastersDegree	fullTimeEmployee	economy_administration	60000	4	100	detachedHouse	jointTenant	Staubmilbe,Wollmaus	Bier,Bett
1a2faea07948961247f074c2e8228881	1-678d4401f826609ceda6028213edcfc1	annotator	62	male	DE	DE	lowerSecondaryEducation	partTimeEmployee	social_pedagogy	35000	2	210	detachedHouse	jointOwner	Katze	Wandern,Handwerken,Fahrradfahren
232959365b58b316eca0642f554fdcac	2-14543eacccafb53800d30564b2e0d99b	annotator	28	female	deutsch	portugiesisch	postSecondaryNonTertiaryEducation	fullTimeEmployee	media	35000	2	76	purposeBuiltFlatLowRise	jointTenant		Basteln,Stricken,Zeichnen,Kochen,Handarbeit
26e7da5a5c74d748ed8f2e37df2f5816	1-4fc5bf2a356807b469dfd7af48294540	annotator	28	male	Deutsch	Deutsch	bachelorsDegree	student	it	10000	2	76	purposeBuiltFlatLowRise	jointTenant		musizieren,wandern,Videospiele,Handwerk,lesen
2a9ddca5eb578d86031f1ab0e2561fdd	1-5db71cb0a7144a31cc4f67a01b03dac3	annotator	31	female	Deutsch	Deutsch	bachelorsDegree	fullTimeEmployee	health	40000	2	101	detachedHouse	jointTenant	Katze	Wandern,Schwimmen,Kochen
2f90f56090b736bf056f394ea057f524	1-164a46025d1793db4f44f7a2aa2bcbee	annotator	26	female	deutsch	deutsch	postSecondaryNonTertiaryEducation	student	art_culture_design		1	38	terracedHouse	soleTenant	keine	keine
34c4b4169948532468e848c36d202386	1-30207adf4e3f09e0aad95fd41716d44f	annotator	24	male	Deutsch	Deutsch	upperSecondaryEducation	student	electric	10000	11	500	detachedHouse	jointTenant	Keine	Trompete spielen,Airsoft
35403ea166f98b24ad55f418bd54dc03	1-515be29546c6758a3f99d1b152be6561	annotator	33	male	Deutsch	Deutsch	mastersDegree	fullTimeEmployee	it	100000	2	120	semiDetachedHouse	jointTenant		Gaming,Kochen
