"variable","Min_literal","Q1_literal","Median_literal","Mean_literal","Q3_literal","Max_literal","SD_literal","Var_literal","Min_sentimental","Q1_sentimental","Median_sentimental","Mean_sentimental","Q3_sentimental","Max_sentimental","SD_sentimental","Var_sentimental","t","p_t-test","c","p_correlation"
"concreteness","3.88533333333333","5.14794155844156","5.47925524475524","5.46897669879095","5.80885227272727","8.218","0.546615547446218","0.298788556709928","2.286","3.9205","4.31171515151515","4.35784005302675","4.71786111111111","7.995","0.698784496260643","0.48829977221424","26.6271663889918","3.67590237763985e-114","0.0722134717451395","0.125268393024411"
"valence","3.6315","5.37496666666667","5.60679166666667","5.61228957933662","5.84394047619048","6.919","0.378226665861125","0.143055410768423","3.557","5.37982692307692","5.6735","5.64526306955379","5.97566470588235","7.075","0.498345641378277","0.248348378280726","-1.12052518935085","0.262809851211849","0.101255677303038","0.0313738406620399"
"arousal","1.9455","3.03434545454545","3.27158333333333","3.26526196551579","3.45478125","4.7715","0.373743987376315","0.139684568099947","2.006","3.50049404761905","3.76868055555556","3.76951825295273","4.04103571428571","5.719","0.424245481393031","0.179984228482405","-18.9614007157273","1.39897947597758e-67","0.169730862051466","0.000289106751092172"
"imageability","4.284","5.3842","5.73146666666667","5.69577539976775","5.978125","7.893","0.47002977777358","0.220927991993881","3.018","4.4605","4.84963492063492","4.87138451289568","5.21261666666667","8.32","0.626037760150983","0.39192327713486","22.3884926482492","2.29828148117214e-87","0.130520596898243","0.00545064237590392"
"token_length_mean","4.25","6","6.62019230769231","6.80819917740828","7.37740384615385","12","1.15606591446143","1.33648839857954","3.57142857142857","5.78159340659341","6.44444444444444","6.68392384789074","7.30392156862745","13.5","1.35953413971635","1.84833307705428","1.48051084906589","0.139095179531177","0.186923393357378","6.37891470911315e-05"
"token_length_median","3","5","6","6.28871681415929","7","13","1.62953100577602","2.65537129878539","3","5","6","6.14823008849558","7","13.5","1.74453126130337","3.04338932166474","1.25116417500207","0.211200496963109","0.172106694023606","0.000236571798569123"
"token_length_std","1.06718737290547","2.90437029784835","3.42552528973169","3.54222086189828","3.99029572873234","8.15475321515004","0.956056733575164","0.914044477814411","0","2.54505070599588","3.07161182271781","3.12036622998205","3.68178700572909","6.72216482987438","0.990651587652025","0.981390568117477","6.51444746659551","1.21182263519886e-10","0.156581338703299","0.000836657115006127"
"sentence_length_mean","2","5.5","8","8.54646017699115","10.5","22","4.18611776270914","17.523581923269","2","5","7","7.85807522123894","10","21","4.10397379905518","16.8426009433314","2.49651936745023","0.0127193997729432","0.261092469378023","1.76547414908211e-08"
"sentence_length_median","2","5.5","8","8.53318584070797","10.5","22","4.20563506792832","17.6873663245884","1","5","7","7.82190265486726","10","21","4.14574105286629","17.1871688774209","2.56069318570834","0.0106081489865473","0.254332957398837","4.19045059519165e-08"
"sentence_length_std","0","0","0","0.893519604688016","1.5","9.5","1.56435419345579","2.44720404258273","0","0","0","0.965607988884515","1.5","8.5","1.49899319332903","2.24698059364675","-0.707382684492429","0.479511745041343","0.129455067519719","0.00584703890161233"
