"","bed","bench","cabinet","chair","chest","couch","decoration","desk","diningtable","electronics","hobby","shelf","stool","tableware","wardrobe"
"bed",0,0.036,0.048,0.062,0.045,0.024,0.07,0.047,0.042,0.079,0.056,0.046,0.051,0.069,0.052
"bench",2.37,0,0.019,0.032,0.018,0.026,0.052,0.014,0.008,0.06,0.027,0.019,0.021,0.057,0.023
"cabinet",2.76,1.73,0,0.047,0.007,0.046,0.053,0.024,0.024,0.067,0.043,0.02,0.034,0.067,0.006
"chair",3.14,2.29,2.75,0,0.046,0.044,0.06,0.041,0.038,0.082,0.047,0.049,0.02,0.068,0.055
"chest",2.67,1.71,1.04,2.73,0,0.043,0.057,0.017,0.023,0.068,0.044,0.024,0.034,0.067,0.012
"couch",1.98,2.07,2.73,2.69,2.66,0,0.073,0.04,0.033,0.065,0.045,0.048,0.041,0.063,0.048
"decoration",3.25,2.85,2.88,3.1,3,3.4,0,0.076,0.047,0.094,0.043,0.05,0.036,0.029,0.061
"desk",2.83,1.59,2.04,2.64,1.73,2.6,3.57,0,0.017,0.061,0.041,0.031,0.03,0.078,0.03
"diningtable",2.6,1.17,1.96,2.49,1.92,2.31,2.76,1.7,0,0.06,0.027,0.023,0.019,0.048,0.026
"electronics",3.49,3.08,3.25,3.6,3.28,3.23,3.73,3.2,3.11,0,0.037,0.066,0.077,0.083,0.064
"hobby",2.92,2.1,2.59,2.75,2.64,2.71,2.47,2.68,2.12,2.34,0,0.034,0.034,0.046,0.041
"shelf",2.68,1.75,1.77,2.81,1.95,2.8,2.77,2.32,1.92,3.2,2.31,0,0.034,0.062,0.019
"stool",2.84,1.82,2.33,1.82,2.36,2.59,2.39,2.27,1.74,3.48,2.34,2.34,0,0.044,0.041
"tableware",3.23,2.98,3.21,3.28,3.23,3.18,2.02,3.61,2.79,3.5,2.54,3.09,2.62,0,0.069
"wardrobe",2.9,1.92,0.99,3,1.42,2.82,3.1,2.27,2.07,3.21,2.58,1.77,2.58,3.3,0
