	bed	bench	cabinet	chair	chest	couch	decoration	desk	diningtable	electronics	hobby	shelf	stool	tableware	wardrobe
bed	0	0,0355792645792545	0,0484975640173299	0,0617763459627949	0,0447090354154314	0,024158873224103	0,0701870668233131	0,0471165806982199	0,0417371248411712	0,0793474889803883	0,0563988932676157	0,0458461970793805	0,0510249246565081	0,0694002507804039	0,0524893000995637
bench	0,0355792645792545	0	0,0186496473354349	0,0323175210583686	0,0180042826278821	0,0262348133131487	0,0517762766557908	0,0143983422511335	0,00835929430027427	0,0601207922177306	0,0273540056720912	0,0191379434427195	0,0205766773911462	0,0567369531742884	0,0226753005741047
cabinet	0,0484975640173299	0,0186496473354349	0	0,0466393039064482	0,00670621982933528	0,0460479041986367	0,0534131250455062	0,0240756902377032	0,0235131870983829	0,0674570299730591	0,0429831838491554	0,0196920824171253	0,0338248022729271	0,0667193973751238	0,00595431671938695
chair	0,0617763459627949	0,0323175210583686	0,0466393039064482	0	0,0457513247041731	0,0442320177381506	0,0603870063111248	0,0410057021244647	0,0377083913988453	0,0815705625940421	0,0471179119420735	0,0489138726617604	0,0203612447257437	0,0682958609649299	0,0549446965292926
chest	0,0447090354154314	0,0180042826278821	0,00670621982933528	0,0457513247041731	0	0,0433005974145796	0,0572602987491495	0,0171554626644952	0,0225728737946453	0,0678100784028722	0,0437842287028897	0,0237482693527342	0,0343765091514485	0,0667079131489141	0,012449272413473
couch	0,024158873224103	0,0262348133131487	0,0460479041986367	0,0442320177381506	0,0433005974145796	0	0,0730349033028722	0,0397709229094294	0,0325050217255359	0,0653813436775874	0,0452266509455524	0,0482783774741563	0,0411908861995057	0,0633479263323985	0,0484919658674549
decoration	0,0701870668233131	0,0517762766557908	0,0534131250455062	0,0603870063111248	0,0572602987491495	0,0730349033028722	0	0,075973809280892	0,0471346620735404	0,0940832718847087	0,042948895417207	0,0499134201424354	0,0359880043168225	0,0288130441070156	0,0605311763001597
desk	0,0471165806982199	0,0143983422511335	0,0240756902377032	0,0410057021244647	0,0171554626644952	0,0397709229094294	0,075973809280892	0	0,0167624503814476	0,0608636667599485	0,0406289506096633	0,03144565347633	0,0301165337198432	0,0776539461420191	0,0300864016303561
diningtable	0,0417371248411712	0,00835929430027427	0,0235131870983829	0,0377083913988453	0,0225728737946453	0,0325050217255359	0,0471346620735404	0,0167624503814476	0	0,0602237842953145	0,0266896755201802	0,0226238096015779	0,0185747305731956	0,047976278972397	0,0262064952778529
electronics	0,0793474889803883	0,0601207922177306	0,0674570299730591	0,0815705625940421	0,0678100784028722	0,0653813436775874	0,0940832718847087	0,0608636667599485	0,0602237842953145	0	0,0367837897635152	0,0660103558625054	0,0773108299280983	0,0830886629019674	0,064499178622805
hobby	0,0563988932676157	0,0273540056720912	0,0429831838491554	0,0471179119420735	0,0437842287028897	0,0452266509455524	0,042948895417207	0,0406289506096633	0,0266896755201802	0,0367837897635152	0	0,0343488192161335	0,034454443799788	0,0455270599975349	0,0410887595748876
shelf	0,0458461970793805	0,0191379434427195	0,0196920824171253	0,0489138726617604	0,0237482693527342	0,0482783774741563	0,0499134201424354	0,03144565347633	0,0226238096015779	0,0660103558625054	0,0343488192161335	0	0,0343936052569777	0,0624574473856355	0,0192472695305296
stool	0,0510249246565081	0,0205766773911462	0,0338248022729271	0,0203612447257437	0,0343765091514485	0,0411908861995057	0,0359880043168225	0,0301165337198432	0,0185747305731956	0,0773108299280983	0,034454443799788	0,0343936052569777	0	0,0436200558344294	0,0408867061660672
tableware	0,0694002507804039	0,0567369531742884	0,0667193973751238	0,0682958609649299	0,0667079131489141	0,0633479263323985	0,0288130441070156	0,0776539461420191	0,047976278972397	0,0830886629019674	0,0455270599975349	0,0624574473856355	0,0436200558344294	0	0,0689390444631696
wardrobe	0,0524893000995637	0,0226753005741047	0,00595431671938695	0,0549446965292926	0,012449272413473	0,0484919658674549	0,0605311763001597	0,0300864016303561	0,0262064952778529	0,064499178622805	0,0410887595748876	0,0192472695305296	0,0408867061660672	0,0689390444631696	0
