"","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max."
"bed",0.662018991543198,0.820923810177462,0.900497609298435,0.867176081026889,0.921526251183239,0.980747463540152
"bench",0.675532442231252,0.809152180412758,0.854275939659867,0.847945751360501,0.881143230638651,0.961098435811396
"cabinet",0.697005108813344,0.83706352439118,0.892494425293736,0.867713005272265,0.917204540613293,0.947076430670336
"chair",0.745098513051377,0.795855809162244,0.869257858700226,0.857486996006189,0.895741456049041,0.971999277999098
"chest",0.67415500465994,0.818370773495074,0.85987877991117,0.849998289411561,0.889531579084397,0.927959468579832
"couch",0.672988909526066,0.793963762577841,0.866780267925074,0.842790773112162,0.895796197348799,0.959796202818982
"decoration",0.576237848186319,0.758353605012046,0.841403867659835,0.819211757885063,0.887996790396097,0.924963453484237
"desk",0.669289393525562,0.815147588982996,0.878613731900342,0.854417189169484,0.909129374420478,0.978793885441846
"diningtable",0.764245504521706,0.849311822870458,0.892931292146843,0.878561940453513,0.919949494526869,0.951496199326326
"electronics",0.567286203003128,0.814170110144955,0.870673716422613,0.850091780573366,0.926925222776962,0.97167775420911
"hobby",0.505239424158258,0.823425652714372,0.88898404047524,0.853722054095396,0.929722725978775,0.973898926868394
"shelf",0.700129656378037,0.840454352974185,0.887284591827519,0.874290142091184,0.918250804886598,0.952711943489417
"stool",0.652797374369611,0.823493552527957,0.855569087049498,0.857114064865937,0.914824816557812,0.98153377013274
"tableware",0.602720105179498,0.792985535005206,0.847893527217002,0.844730184179065,0.909265300768149,0.977613310068201
"wardrobe",0.736941057784182,0.827835301458174,0.872763217654513,0.85820174354468,0.897085439516709,0.963581393205594
"total",0.505239424158258,0.81394316746014,0.870568637492184,0.854986328640359,0.911932825225331,0.98153377013274
