"grp1","grp2","t","p_t"
"model","literal",1.58951203682188,"ns"
"literal","model",-1.58951203682188,"ns"
"image","sentimental",20.5946485693133,"****"
"model","sentimental",10.7970441648729,"****"
"literal","sentimental",8.83735616934802,"****"
"image","literal",8.40922566905568,"****"
"image","model",6.84090641099446,"****"
"model","image",-6.84090641099446,"****"
"literal","image",-8.40922566905568,"****"
"sentimental","literal",-8.83735616934802,"****"
"sentimental","model",-10.7970441648729,"****"
"sentimental","image",-20.5946485693133,"****"
