	Min	Q1	Median	Mean	Q3	Max	SD	Var
model	0	0,4	0,6	0,5716	0,8	0,8	0,2024	0,041
literal	0	0,2	0,6	0,5398	0,8	1	0,3128	0,0978
sentimental	0	0	0,2	0,3558	0,6	1	0,3135	0,0983
image	0	0,4	0,6	0,6664	0,8	1	0,2341	0,0548
bed-1	0,2	0,6	0,8	0,7226	1	1	0,286	0,0818
bed-10	0	0,4	0,6	0,6207	0,8	1	0,2993	0,0896
bed-11	0,2	0,8	1	0,9034	1	1	0,1973	0,0389
bed-12	0,2	0,4	1	0,7448	1	1	0,3501	0,1226
bed-13	0	0,6	0,8	0,7448	1	1	0,2261	0,0511
bed-14	0	0,6	0,8	0,7241	1	1	0,2474	0,0612
bed-15	0	0,4	0,6	0,6276	0,8	1	0,2763	0,0764
bed-2	0,2	0,4	0,4	0,5742	0,8	1	0,2863	0,082
bed-3	0	0,5	0,8	0,7032	1	1	0,3647	0,133
bed-4	0	0,4	0,8	0,6966	1	1	0,3407	0,1161
bed-5	0	0,4	0,8	0,6966	1	1	0,319	0,1018
bed-6	0,2	0,4	0,6	0,6828	1	1	0,2592	0,0672
bed-7	0	0,6	0,8	0,7655	1	1	0,2882	0,0831
bed-8	0,2	0,4	0,8	0,6759	0,8	1	0,2695	0,0726
bed-9	0	0,4	0,4	0,5034	0,6	0,8	0,1899	0,0361
bench-1	0	0,4	0,4	0,4968	0,7	0,8	0,2302	0,053
bench-10	0,2	0,4	0,6	0,5241	0,6	0,8	0,1354	0,0183
bench-11	0,2	0,4	0,4	0,4828	0,6	0,8	0,1466	0,0215
bench-12	0	0,4	0,4	0,4552	0,6	0,8	0,2063	0,0426
bench-13	0	0,2	0,4	0,4414	0,8	0,8	0,2848	0,0811
bench-14	0	0,4	0,4	0,3586	0,4	0,4	0,1119	0,0125
bench-15	0	0,4	0,4	0,4069	0,4	0,6	0,1361	0,0185
bench-2	0	0,4	0,4	0,4897	0,6	0,8	0,2242	0,0502
bench-3	0,2	0,2	0,6	0,4897	0,6	1	0,2242	0,0502
bench-4	0	0,8	1	0,9034	1	1	0,2113	0,0446
bench-5	0,2	0,4	0,6	0,5241	0,6	0,6	0,1244	0,0155
bench-6	0	0,2	0,4	0,3931	0,6	0,6	0,2034	0,0414
bench-7	0	0,4	0,6	0,531	0,6	1	0,2156	0,0465
bench-8	0	0,2	0,4	0,3517	0,4	0,6	0,1573	0,0247
bench-9	0,2	0,4	0,4	0,5032	0,6	0,8	0,1991	0,0397
cabinet-1	0	0,4	0,6	0,4759	0,6	0,6	0,164	0,0269
cabinet-10	0	0,4	0,6	0,5793	0,8	0,8	0,1878	0,0353
cabinet-11	0,2	0,6	0,6	0,5862	0,6	1	0,1767	0,0312
cabinet-12	0	0,4	0,4	0,469	0,6	0,6	0,1538	0,0236
cabinet-13	0	0,6	0,8	0,6345	0,8	0,8	0,2454	0,0602
cabinet-14	0	0,4	0,6	0,4897	0,6	0,8	0,2483	0,0617
cabinet-15	0	0,6	0,8	0,7172	0,8	1	0,2592	0,0672
cabinet-2	0	0,6	0,8	0,7241	0,8	1	0,2166	0,0469
cabinet-3	0	0,6	0,8	0,6621	0,8	1	0,2336	0,0546
cabinet-4	0	0,6	0,8	0,6621	0,8	1	0,2456	0,0603
cabinet-5	0	0,4	0,4	0,4759	0,6	0,8	0,2029	0,0412
cabinet-6	0,6	1	1	0,9484	1	1	0,1151	0,0132
cabinet-7	0,2	0,6	0,6	0,6839	0,8	1	0,1695	0,0287
cabinet-8	0	0,4	0,6	0,5103	0,6	0,8	0,2041	0,0417
cabinet-9	0	0,6	0,8	0,6552	0,8	0,8	0,2501	0,0626
chair-1	0	0,4	0,6	0,5806	0,8	1	0,3321	0,1103
chair-10	0,4	1	1	0,931	1	1	0,1538	0,0236
chair-11	0	0,6	0,8	0,7517	0,8	1	0,2115	0,0447
chair-12	0	1	1	0,9379	1	1	0,1935	0,0374
chair-13	0	0,8	1	0,8552	1	1	0,2501	0,0626
chair-14	0	0,4	1	0,7793	1	1	0,3178	0,101
chair-15	0	0,6	0,6	0,5655	0,8	0,8	0,2334	0,0545
chair-2	0,2	0,6	0,8	0,6774	0,8	1	0,1978	0,0391
chair-3	0	0,6	0,8	0,7448	1	1	0,3247	0,1054
chair-4	0,6	1	1	0,9724	1	1	0,0882	0,0078
chair-5	0,2	0,6	0,6	0,6	0,6	0,8	0,1069	0,0114
chair-6	0,2	0,8	0,8	0,7862	0,8	1	0,1597	0,0255
chair-7	0,2	1	1	0,9586	1	1	0,1547	0,0239
chair-8	0	0,8	0,8	0,6897	0,8	0,8	0,2304	0,0531
chair-9	0	0,8	0,8	0,7172	0,8	0,8	0,2106	0,0443
chest-1	0	0,4	0,6	0,5613	0,8	0,8	0,2276	0,0518
chest-10	0	0,4	0,4	0,4414	0,6	0,6	0,1637	0,0268
