"","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max."
"bed",1.47124351948656,3.13360004636414,4.12651042119214,4.32378368961249,4.94927286061073,7.99600942516307
"bench",2.06921385455108,4.13720308200476,4.52315962354286,4.60674412562423,5.19805986760618,6.8484642428966
"cabinet",2.61958154731943,3.32126048343098,3.6604741124202,4.17527036527376,5.07723323703009,6.94430944540481
"chair",1.93316229305283,3.68546219151548,4.75535688918931,4.51972579280223,5.2748501822455,7.33252842667479
"chest",2.16763323224569,3.68047131163571,4.35746020378423,4.71433336131158,5.27327690513557,8.22471112533414
"couch",2.18367610342083,3.48070050017722,4.50702948021818,4.4762769474753,5.066864610203,7.70957686165281
"decoration",3.34525378778711,4.15840591562584,4.52347557146647,5.04774428475602,6.35642561593387,8.29841263966921
"desk",2.13667407494418,3.20258146636493,4.2298043828786,4.55821776317752,5.74773552331935,8.3384912751893
"diningtable",2.37273945502381,3.51836858937613,4.16453705597184,4.18271097997524,4.82787962609543,6.25153788760301
"electronics",2.61321988002574,3.55272882929611,5.03682242588435,4.7478408132796,5.65531744263962,8.71033278164344
"hobby",1.88056616498979,3.05077492532105,4.53522864478864,4.50395501050666,5.28300557326202,8.14568472241149
"shelf",2.78296204253118,3.49437637544069,3.91170803625017,4.25450104074999,4.70107984395469,6.83742389566401
"stool",1.77531099072094,3.76522402551617,4.13753543365404,4.50075950119798,5.39596801109358,7.76940421732376
"tableware",1.75459460789777,3.5627961804966,4.40280157108151,4.52767311639148,5.48309145418252,7.9684870016236
"wardrobe",1.84947038433922,3.60207433651233,3.98386697586923,4.27676709111122,4.92440574848432,6.92342418294199
"total",1.47124351948656,3.539545132846,4.33946025505827,4.49259820540097,5.30310581052313,8.71033278164344
