"variable","Min_literal","Q1_literal","Median_literal","Mean_literal","Q3_literal","Max_literal","SD_literal","Var_literal","Min_sentimental","Q1_sentimental","Median_sentimental","Mean_sentimental","Q3_sentimental","Max_sentimental","SD_sentimental","Var_sentimental","Min","Q1","Median","Mean","Q3","Max","SD","Var","t","p_t","c","p_correlation"
"spelling_errors",0,0,0,0.57,1,3,0.74,0.55,0,0,0,0.66,1,5,0.85,0.73,0,0,0,0.62,1,5,0.8,0.64,-1.67,"ns",0.15,"***"
"sentence_length_std",0,0,0,0.77,1.25,7.5,1.37,1.87,0,0,0,0.91,1.5,8,1.44,2.06,0,0,0,0.84,1.5,8,1.4,1.97,-1.49,"ns",0.14,"**"
"dependency_distance_mean",0.67,1.66,2,2.11,2.43,5.27,0.72,0.52,0.67,1.6,2,2.19,2.62,6.37,0.88,0.78,0.67,1.62,2,2.15,2.52,6.37,0.81,0.65,-1.48,"ns",0.15,"**"
"n_sentences",1,1,1,1.49,2,4,0.73,0.53,1,1,1,1.56,2,6,0.74,0.55,1,1,1,1.53,2,6,0.74,0.54,-1.4,"ns",0.25,"****"
"valence",3.93,5.38,5.61,5.62,5.84,6.92,0.36,0.13,3.78,5.37,5.68,5.65,5.98,7.08,0.49,0.24,3.78,5.37,5.64,5.63,5.91,7.08,0.43,0.19,-1.03,"ns",0.13,"**"
"age",21,26,30,31.95,36,62,8.58,73.68,21,26,30,31.95,36,62,8.58,73.68,21,26,30,31.95,36,62,8.58,73.6,0,"ns",1,"****"
"income",0,25000,45000,47345.13,60000,125000,31067.99,965219865.39,0,25000,45000,47345.13,60000,125000,31067.99,965219865.39,0,25000,45000,47345.13,60000,125000,31050.78,964150961.89,0,"ns",1,"****"
"householdSize",1,2,2,3.13,3,11,2.79,7.8,1,2,2,3.13,3,11,2.79,7.8,1,2,2,3.13,3,11,2.79,7.79,0,"ns",1,"****"
"livingArea",8,67,100,110.2,120,500,87.22,7607.47,8,67,100,110.2,120,500,87.22,7607.47,8,67,100,110.2,120,500,87.17,7599.04,0,"ns",1,"****"
"timeTaken",3.41,114.48,167.73,183.37,228.23,581.93,97.75,9554.39,3.41,114.48,167.73,183.37,228.23,581.93,97.75,9554.39,3.41,114.48,167.73,183.37,228.23,581.93,97.69,9543.81,0,"ns",1,"****"
"n_unique_tokens",2,8,11,11.19,15,24,4.57,20.91,2,7,11,11.06,15,23,4.93,24.35,2,7,11,11.13,15,24,4.75,22.61,0.42,"ns",0.3,"****"
"sentiment",-1,0,0,-0.09,0,1,0.46,0.21,-1,-1,0,-0.11,1,1,0.84,0.7,-1,-1,0,-0.1,0,1,0.68,0.46,0.44,"ns",0.08,"ns"
"token_length_median",3,5,6,6.26,7,12,1.58,2.51,3,5,6,6.12,7,13.5,1.73,3,3,5,6,6.19,7,13.5,1.66,2.75,1.29,"ns",0.18,"***"
