"variable","variable_comp","t_literal","p_t_literal","correlation_literal","p_correlation_literal","t_sentimental","p_t_sentimental","correlation_sentimental","p_correlation_sentimental","t_joined","p_t_joined","correlation_joined","p_correlation_joined"
"spelling_errors","imageability",-122.64,"****",-0.01,"ns",-84.61,"****",-0.06,"ns",-132.6,"****",-0.06,"ns"
"sentiment","dependency_distance_std",-9.56,"****",-0.02,"ns",-7.35,"****",-0.08,"ns",-11.26,"****",-0.06,"ns"
"sentiment","age",-79.25,"****",0.01,"ns",-79.04,"****",-0.1,"*",-111.98,"****",-0.06,"ns"
"valence","syllables_per_token_median",114.36,"****",0.01,"ns",93.38,"****",-0.1,"*",143.74,"****",-0.06,"ns"
"valence","n_characters",-49.5,"****",-0.12,"**",-47.17,"****",-0.02,"ns",-68.2,"****",-0.06,"ns"
"valence","income",-32.4,"****",-0.04,"ns",-32.4,"****",-0.08,"ns",-45.84,"****",-0.06,"ns"
"imageability","spelling_errors",122.64,"****",-0.01,"ns",84.61,"****",-0.06,"ns",132.6,"****",-0.06,"ns"
"imageability","proportion_unique_tokens",203.14,"****",0.04,"ns",130.83,"****",0.1,"*",185.8,"****",-0.06,"ns"
"token_length_median","timeTaken",-38.52,"****",-0.05,"ns",-38.55,"****",-0.07,"ns",-54.52,"****",-0.06,"ns"
"sentence_length_median","lix",-62.9,"****",-0.02,"ns",-48.77,"****",-0.12,"*",-77.29,"****",-0.06,"ns"
"syllables_per_token_median","valence",-114.36,"****",0.01,"ns",-93.38,"****",-0.1,"*",-143.74,"****",-0.06,"ns"
"n_tokens","householdSize",31.54,"****",0.04,"ns",29.64,"****",-0.17,"***",43.25,"****",-0.06,"ns"
"proportion_unique_tokens","imageability",-203.14,"****",0.04,"ns",-130.83,"****",0.1,"*",-185.8,"****",-0.06,"ns"
"n_characters","valence",49.5,"****",-0.12,"**",47.17,"****",-0.02,"ns",68.2,"****",-0.06,"ns"
"lix","sentence_length_median",62.9,"****",-0.02,"ns",48.77,"****",-0.12,"*",77.29,"****",-0.06,"ns"
