_id	text	concreteness	valence	arousal	imageability	token_length_mean	token_length_median	token_length_std	sentence_length_mean	sentence_length_median	sentence_length_std	syllables_per_token_mean	syllables_per_token_median	syllables_per_token_std	n_tokens	n_unique_tokens	proportion_unique_tokens	n_characters	n_sentences	flesch_reading_ease	flesch_kincaid_grade	gunning_fog	automated_readability_index	coleman_liau_index	lix	rix	dependency_distance_mean	dependency_distance_std	prop_adjacent_dependency_relation_mean	prop_adjacent_dependency_relation_std	pos_prop_ADJ	pos_prop_NOUN	pos_prop_DET	pos_prop_CCONJ	pos_prop_PUNCT	pos_prop_ADV	pos_prop_ADP	pos_prop_VERB	pos_prop_PART	pos_prop_AUX	pos_prop_X	pos_prop_PRON	pos_prop_PROPN	pos_prop_NUM	pos_prop_SCONJ	pos_prop_SPACE
023b70256d83e844210a0528a4942a8a															0	0		0	0																											
028273d6b98038177ddefaa950ed2580															0	0		0	0																											
02894464e2a0d558d514915bc5e0c36a															0	0		0	0																											
028b1e475972f9eae615ba85e1394bb8															0	0		0	0																											
028b1e475972f9eae615ba85e15db70a															0	0		0	0																											
028b1e475972f9eae615ba85e1709ddd															0	0		0	0																											
0429d4a8c72bf6305999a389eb9ff1cc															0	0		0	0																											
0429d4a8c72bf6305999a389eba78954															0	0		0	0																											
0429d4a8c72bf6305999a389ebb94a7a															0	0		0	0																											
0429d4a8c72bf6305999a389ebc613cf	Einfache Ausführung eines Flurschrankes oder Garderobenschrankes, sehr dunkles Design.	3.884	6.134166666666666	3.5415000000000005	4.388166666666667	8.444444444444445	7.0	4.645454435637083	9.0	9.0	0.0	2.5555555555555554	2.0	1.4229164972072998	9	9	1.0	78	1	-18.499999999999943	18.075555555555557	21.37777777777778	22.843333333333334	30.564444444444444	64.55555555555556	5.0	2.5454545454545454	0.0	0.5454545454545454	0.0	0.18181818181818182	0.36363636363636365	0.09090909090909091	0.09090909090909091	0.18181818181818182	0.09090909090909091										
0429d4a8c72bf6305999a389ebe24c90															0	0		0	0																											
0429d4a8c72bf6305999a389ebfad791	Designerobjekt mit unüblichem Au sehen. Scheint teuer zu sein.	4.1076	5.336799999999999	4.0762	4.651000000000001	5.777777777777778	5.0	3.764683188021648	4.5	4.5	0.5	2.111111111111111	1.0	1.6629588385661962	9	9	1.0	54	2	23.667500000000018	11.07611111111111	10.68888888888889	8.033333333333331	11.595555555555553	37.83333333333333	1.5	1.7833333333333332	0.3833333333333333	0.3666666666666667	0.033333333333333354	0.09090909090909091	0.18181818181818182			0.18181818181818182	0.09090909090909091	0.09090909090909091	0.18181818181818182	0.09090909090909091	0.09090909090909091						
052316f45f7afd8937f602aee350fbb3															0	0		0	0																											
05f645c0f30a97fdc864fe5f772e47ff															0	0		0	0																											
05f645c0f30a97fdc864fe5f77493026	Die großen Rundungen der Gitarre machen einen gemütlichen Eindruck. Assoziiert mit Reggae- oder Bluesmusik.	4.516375	6.5515	4.034625	5.1985	6.571428571428571	6.5	2.6649654437396615	7.0	7.0	2.0	2.2142857142857144	2.0	1.0809104250301111	14	14	1.0	94	2	12.401428571428596	13.26857142857143	19.942857142857143	13.021428571428565	18.611428571428565	57.0	3.5	1.8666666666666667	0.033333333333333326	0.4	0.1	0.125	0.25	0.1875	0.0625	0.125		0.0625	0.125			0.0625					
08d785ce29c14fc91901bb1cc1986e99															0	0		0	0																											
0939a13407e3f8e2ed69013707b07cb5															0	0		0	0																											
0939a13407e3f8e2ed69013707c2e32a															0	0		0	0																											
