"variable","Min_literal","Q1_literal","Median_literal","Mean_literal","Q3_literal","Max_literal","SD_literal","Var_literal","Min_sentimental","Q1_sentimental","Median_sentimental","Mean_sentimental","Q3_sentimental","Max_sentimental","SD_sentimental","Var_sentimental","Min","Q1","Median","Mean","Q3","Max","SD","Var","t","p_t-test","c","p_correlation","NA","NA","NA"
"concreteness","3.80475","5.13225","5.45534285714286","5.45457871862829","5.74548106060606","8.218","256",NA,NA,"2.755","3.96466666666667","4.3122","4.35681269104526","4.72275","6.649","239",NA,NA,"2.755","4.24175","4.92322222222222","4.88288149643958","5.4883","8.218","495",NA,NA,"18.5445141630367","4.33347429910879e-56","0.11186723173553","0.244615831531152"
"valence","3.927","5.396375","5.64914285714286","5.64132250267202","5.87776153846154","6.919","256",NA,NA,"3.777","5.3325","5.654","5.62322481110439","5.966","6.896","239",NA,NA,"3.777","5.36475","5.65175","5.63189754349377","5.92285714285714","6.919","495",NA,NA,"0.423052980467413","0.672487539863083","0.115467072790472","0.229666954224993"
"arousal","1.983","3.03918881118881","3.26886111111111","3.29109318312716","3.53594487179487","4.28676923076923","256",NA,NA,"2.57675","3.59285714285714","3.7738","3.79737999869848","4.06225","5.719","239",NA,NA,"1.983","3.22338461538462","3.5934","3.55475844404817","3.87511111111111","5.719","495",NA,NA,"-13.1083189128674","5.43408903672317e-33","0.233520629495694","0.0140785175498812"
"imageability","3.9885","5.409425","5.70119642857143","5.70064429223858","5.99177777777778","8.223","256",NA,NA,"3.42957142857143","4.442875","4.82628571428571","4.85232732723067","5.16741666666667","6.6865","239",NA,NA,"3.42957142857143","4.7595","5.2726","5.25885575055965","5.74366666666667","8.223","495",NA,NA,"15.5758154231311","3.07488068615694e-43","0.0944415085536826","0.326399753830885"
"token_length_mean","4.29411764705882","6","6.58333333333333","6.76949832276391","7.20769230769231","11.5","256",NA,NA,"3.83333333333333","5.62053571428571","6.33333333333333","6.48841478002016","7.0625","10.4","238",NA,NA,"3.83333333333333","5.88888888888889","6.43650793650794","6.622786424844","7.1510989010989","11.5","494",NA,NA,"2.57554128469156","0.0103596945195764","0.0784946698380623","0.415007481528899"
"token_length_median","3","5","6","6.29081632653061","7","11.5","256",NA,NA,"3.5","5","5.5","5.90654205607477","7","11","238",NA,NA,"3","5","6","6.09024390243902","7","11.5","494",NA,NA,"2.56250018423237","0.0107610373213937","0.00102210278137537","0.991544618702369"
"token_length_std","1.5","2.86903049202941","3.37122634342243","3.50667107745556","3.91859310222769","6.5","256",NA,NA,"0.5","2.54323317433252","3.04527655384163","3.14508010158741","3.72558591158579","6.27992834354024","238",NA,NA,"0.5","2.7141105049961","3.22513433134816","3.31793822663657","3.81976658907045","6.5","494",NA,NA,"3.83118826255298","0.000147663209167917","0.258995647897277","0.00629279112641567"
"sentence_length_mean","2","6","8","8.72363945578231","11","22","256",NA,NA,"2","5","7.5","8.38123052959502","10.875","21","238",NA,NA,"2","5.5","8","8.54491869918699","11","22","494",NA,NA,"0.832208785714906","0.405781397566016","0.144005950105735","0.133374014181667"
"sentence_length_median","2","6","8","8.69897959183673","11","22","256",NA,NA,"2","5","7.5","8.36915887850467","10.875","21","238",NA,NA,"2","5.125","8","8.52682926829268","11","22","494",NA,NA,"0.796642247406082","0.426126117944409","0.142657145957332","0.137087678714092"
"sentence_length_std","0","0","0","0.854501503883367","1.5","7.5","256",NA,NA,"0","0","0","1.00619430196601","1.5","8","238",NA,NA,"0","0","0","0.933677744833818","1.5","8","494",NA,NA,"-1.01613558197819","0.310167135013306","0.00151174936637786","0.987494274171797"
